Initial molecule ; Modified molecule
O=C(Nc1ccc2c(c1)CNCC2)c1ccc(-c2ccc(Cl)cc2)cc1 ; CNc1ccc(-c2ccc(C(=O)Nc3ccc4CCNCc4c3)cc2)cc1
CCCCOc1ccc(C=C2SC(=S)NC2=O)c(OCCCC)c1 ; CCCCOc1ccc(C=C2SC(=S)NC2=O)c(OCCOC)c1
Cc1nc2cc(NC(=O)c3ccc[n+]([O-])c3)ccc2o1 ; Cc1cc2ccccc2nc1OC(=O)c1ccc[n+](Br)c1
CN(C)S(=O)(=O)c1cccc(CSc2ccccc2F)c1 ; CN(C)S(=O)(=O)c1csc(CSc2ccccc2F)n1
COc1cccc(-c2cc(=O)n(-c3nc4ccccc4s3)[nH]2)c1 ; COc1cccc(-c2cc(=O)n(-c3ccc4scnc4c3)[nH]2)c1
COc1ccc(CNC(=O)c2cc(C)c3ccccc3n2)cc1OC ; COc1ccc(CNC(=O)c2nc3ccccc3c(C)c2)cc1F
[B]c1ccc(C(=O)NC(Nc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1 ; [B]c1ccc(C(=O)NC(Nc2ccc(NC)cc2)C(Cl)(Cl)Cl)cc1
Cc1sc2ncnc(C(=O)CSN3CCCc4ccccc43)c2c1C ; CSc1c(C)sc2ncnc(C(=O)NCN3CCCc4ccccc43)c12
COc1cccc(NC(=O)Nc2cccc(C(F)(F)F)c2)c1 ; COc1cccc(NC(=O)Nc2cccc(C(Cl)(Cl)Cl)c2)c1
Cn1nccc1C(=O)Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1 ; [C-]#[N+]c1ccc(-c2csc(NC(=O)c3ccnn3SC)n2)cc1
COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)CCl)c2ccccc2Cl)cc1 ; CNc1ccccc1N(C(=O)CCl)C(C(=O)NCl)c1ccc(OC)cc1
Cc1ccccc1CSCc1cccc(S(=O)(=O)N(C)C)c1 ; Cc1ccccc1SCc1cncc(S(=O)(=O)C(C)C)c1
CCCN(CCC)C(=O)Cn1c(-c2ccc(Cl)cc2)nc2ccccc21 ; CCCN(CCC)C(=O)Cn1c(-c2ccc(NC)cc2)nc2cnccc21
COc1ccc(CNc2oc(OCc3ccc(Br)cc3)nc2C#N)cc1 ; COc1ccc(CNc2c(C=N)nc(OCc3ccc(Br)cc3)o2)cn1
COc1ccc(CN2CCc3c(cccc3NC(=O)c3ccc(OC)c(OC)c3)C2)cc1 ; COc1ccc(Cc2ccc3C=C(NC(=O)c4ccc(O)c(F)c4)CCc3c2)cc1
O=C(c1ccccc1I)c1cn(CCCCCF)c2ccccc12 ; CNCCNCCCOn1cc(C(=O)c2ccccc2I)c2ccccc21
Cc1cc(C)nc(Sc2ccc([N+](=O)[O-])cc2)n1 ; [C-]#[N+]c1ccc(Sc2nc(SC)cc(C)n2)nc1
CCC(C)c1ccc(S(=O)(=O)Nc2ccc(OC)nc2)cc1 ; C=C(C)COc1ccc(S(=O)(=O)Nc2ccc(F)nc2)cc1
O=C(NC(=C(Cl)Cl)S(=O)(=O)c1ccccc1)c1ccc(F)cc1 ; O=C(NC(=C(Cl)Cl)S(=O)(=O)c1ccccc1)c1ccc(F)cn1
O=C(C=Cc1ccco1)NC(=S)Nc1nc(-c2ccc3ccccc3c2)cs1 ; O=C1NN(c2ccco2)C(=O)C1=Cc1nc(-c2cccc3ccccc23)cs1
Cc1ccc(C(=O)Nc2ccc3ncsc3c2)cc1S(=O)(=O)N(C)C ; Cc1ncc(C(=O)Nc2ccc3ncsc3c2)cc1S(=O)(=O)C(C)C
O=C(O)c1ccc(N2C(=O)C(=Cc3ccccc3[N+](=O)[O-])SC2=S)cc1 ; [C-]#[N+]c1cccnc1C=C1SC(=S)N(c2ccc(N3NC=CCC3=O)cc2)C1=O
CCOc1ccccc1C(=O)Nc1cccc(-c2nc3ccccc3s2)c1 ; CCOc1cccn1C(=O)NCc1cncc(-c2ccc3scnc3c2)c1
COc1ccccc1C(CNc1ncnc2sc(C)c(C)c12)N(C)C ; CSc1c(N)sc2c1c(NCC(c1ccccc1F)N(C)C)ncn2
COc1ccc(NCCc2c(C)sc3ncnc(C)c23)cc1OC ; CSc1csc2nc(C)nc(OCCCCCOc3cnc(N)c(F)c3)c12
Nc1cc2c(Nc3ccc4c(ccn4Cc4ccccc4)c3)ncnc2cn1 ; Nc1ccnc2ccc(Nc3ccc4c(c3)ccn4Cc3ccccn3)cc12
O=C(CCC=C1SC(=S)N(c2ccccc2)C1=O)Nc1ccc(C(=O)O)cc1 ; C=CCC(C=C1C(=O)NN(c2ccc(C(=O)O)cc2)C1=O)c1ccccc1
O=C(CCl)Nc1cc(-c2ccccc2)nn1-c1ccccc1 ; O=C(CCl)Nc1cc(-c2ccccc2)nn1-c1ccccn1
Cc1nc2cc(S(=O)(=O)NCCc3ccc(CN)cc3)ccc2s1 ; C=CCc1cc2ccc(S(=O)(=O)NCCc3ccc(CCN)cc3)cc2s1
Cc1sc2ncnc(Nc3ccccc3Oc3ccccc3)c2c1C ; Cc1c(C)c2c(Nc3ccccc3Oc3ccccn3)ncnc2s1
Cc1cc(C)cc(NC(=S)NNc2ccnc3cc(Cl)ccc23)c1 ; C=CCc1cc(NC(=S)NNc2ccnc3cc(NC)ccc23)cc(C)c1
COc1cccc(CNC(=O)c2cc(C)nc3ccccc23)c1 ; CCCc1csc(CNC(=O)c2cc(SC)nc3ccccc23)n1
CN(C)S(=O)(=O)c1ccc(C(=O)NCc2nc3ccccc3s2)cc1 ; CCN(CC)S(=O)(=O)c1ccc(C(=O)NCc2ccc3scnc3c2)cc1
c1ccc(-c2cnc3c(-c4ccnc5ccccc45)cnn3c2)cc1 ; c1ccc(-c2c3ncccn3nc2-c2ccnc3ccccc23)cc1
Cn1ccc(C(=O)Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)n1 ; [C-]#[N+]c1ccc(-c2csc(C(=O)OCC(=O)c3nn(SC)cc3)n2)nc1
Nc1ccc(C(=O)Nc2ccc(Oc3cccnc3)nc2)cc1 ; O=C(COC(=O)c1ccc(Sc2cccnc2)nc1)c1ccc(NO)cc1
COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)CCl)c2ccccc2Cl)cc1 ; CNc1cccnc1N(C(=O)CCl)C(C(=O)NCl)c1ccc(F)cc1
CCc1cccc(CN2CCN(CCN(C)C(C)=O)CC2)c1 ; CC(=O)N(C)CCCN1CCN(Cc2cc(N3CCCCCC3)ccc2)CC1
Cc1nc(C(=O)CSN2CCCCC2)c2cc(-c3ccccc3)sc2n1 ; Cc1nc(C(=O)CSN2CCCCC2)c2cc(-c3ccccn3)sc2n1
COc1ccc(-c2csc(NC(=O)C(=NN)C(=N)c3ccccc3)n2)cc1 ; COc1ccc(-c2csc(CC(C(N)=O)c3ccccn3)n2)cc1
